127.0.0.1 - - [16/Mar/2017:14:54:15 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [16/Mar/2017:14:54:17 +0800] "GET /message_board/Message.jsp HTTP/1.1" 200 5802
0:0:0:0:0:0:0:1 - - [16/Mar/2017:14:54:17 +0800] "GET /message_board/CSS/public.css HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [16/Mar/2017:14:54:17 +0800] "GET /message_board/JS/main.js HTTP/1.1" 200 3695
0:0:0:0:0:0:0:1 - - [16/Mar/2017:14:54:17 +0800] "GET /message_board/CSS/main.css HTTP/1.1" 200 7421
0:0:0:0:0:0:0:1 - - [16/Mar/2017:14:54:17 +0800] "GET /message_board/img/message.png HTTP/1.1" 200 1772
0:0:0:0:0:0:0:1 - - [16/Mar/2017:14:54:17 +0800] "GET /message_board/img/picture.jpg HTTP/1.1" 200 354821
0:0:0:0:0:0:0:1 - - [16/Mar/2017:14:54:17 +0800] "GET /message_board/img/logo2.png HTTP/1.1" 200 3809
0:0:0:0:0:0:0:1 - - [16/Mar/2017:14:54:17 +0800] "GET /message_board/img/logo1.png HTTP/1.1" 200 40615
0:0:0:0:0:0:0:1 - - [16/Mar/2017:14:54:17 +0800] "GET /message_board/img/nav.jpg HTTP/1.1" 200 53797
0:0:0:0:0:0:0:1 - - [16/Mar/2017:14:54:17 +0800] "GET /message_board/img/top.jpg HTTP/1.1" 200 101318
0:0:0:0:0:0:0:1 - - [16/Mar/2017:14:54:17 +0800] "GET /message_board/img/clear.png HTTP/1.1" 200 889
0:0:0:0:0:0:0:1 - - [16/Mar/2017:14:54:17 +0800] "GET /message_board/CSS/code_bg.jpg HTTP/1.1" 404 3006
0:0:0:0:0:0:0:1 - - [16/Mar/2017:14:56:08 +0800] "GET /message_board/Message.jsp HTTP/1.1" 200 5802
0:0:0:0:0:0:0:1 - - [16/Mar/2017:14:56:08 +0800] "GET /message_board/CSS/main.css HTTP/1.1" 200 7421
0:0:0:0:0:0:0:1 - - [16/Mar/2017:14:56:08 +0800] "GET /message_board/CSS/public.css HTTP/1.1" 304 -
